Which video did you just watch?,Age,Gender,"As a CHILD (before age 12), how often you Felt Sick or Nauseated: [Cars]","As a CHILD (before age 12), how often you Felt Sick or Nauseated: [Buses]","As a CHILD (before age 12), how often you Felt Sick or Nauseated: [Trains]","As a CHILD (before age 12), how often you Felt Sick or Nauseated: [Aircraft]","As a CHILD (before age 12), how often you Felt Sick or Nauseated: [Small boats]","As a CHILD (before age 12), how often you Felt Sick or Nauseated: [Ships]","As a CHILD (before age 12), how often you Felt Sick or Nauseated: [Swings in playgrounds]","As a CHILD (before age 12), how often you Felt Sick or Nauseated: [Roundabouts in playgrounds]","As a CHILD (before age 12), how often you Felt Sick or Nauseated: [Amusement park rides]",Unnamed: 13,"Over the LAST 10 YEARS, how often you Felt Sick or Nauseated: [Cars]","Over the LAST 10 YEARS, how often you Felt Sick or Nauseated: [Buses]","Over the LAST 10 YEARS, how often you Felt Sick or Nauseated: [Trains]","Over the LAST 10 YEARS, how often you Felt Sick or Nauseated: [Aircraft]","Over the LAST 10 YEARS, how often you Felt Sick or Nauseated: [Small boats]","Over the LAST 10 YEARS, how often you Felt Sick or Nauseated: [Ships]","Over the LAST 10 YEARS, how often you Felt Sick or Nauseated: [Swings in playgrounds]","Over the LAST 10 YEARS, how often you Felt Sick or Nauseated: [Roundabouts in playgrounds]","Over the LAST 10 YEARS, how often you Felt Sick or Nauseated: [Amusement park rides]",Select how much each symptom was affected by watching the video: [General Discomfort],Select how much each symptom was affected by watching the video: [Fatigue],Select how much each symptom was affected by watching the video: [Headache],Select how much each symptom was affected by watching the video: [Eye Strain],Select how much each symptom was affected by watching the video: [Difficulty Focusing],Select how much each symptom was affected by watching the video: [Increased Salivation],Select how much each symptom was affected by watching the video: [Sweating],Select how much each symptom was affected by watching the video: [Nausea],Select how much each symptom was affected by watching the video: [Difficulty Concentrating],Select how much each symptom was affected by watching the video: [Fullness of Head],Select how much each symptom was affected by watching the video: [Blurred Vision],Select how much each symptom was affected by watching the video: [Dizzy (eyes open)],Select how much each symptom was affected by watching the video: [Dizzy (eyes closed)],Select how much each symptom was affected by watching the video: [Vertigo],Select how much each symptom was affected by watching the video: [Stomach Awareness],Select how much each symptom was affected by watching the video: [Burping],Participant ID
minecraft,22,Male,Sometimes felt sick,Sometimes felt sick,Never felt sick,Never felt sick,Sometimes felt sick,Rarely felt sick,Frequently felt sick,Frequently felt sick,Frequently felt sick,,Sometimes felt sick,Sometimes felt sick,Never felt sick,Never felt sick,Sometimes felt sick,Rarely felt sick,Frequently felt sick,Frequently felt sick,Frequently felt sick,None,None,None,None,Slight,None,None,None,None,None,Slight,None,None,None,None,None,49
ship,23,Male,Never felt sick,Rarely felt sick,Rarely felt sick,Never felt sick,Sometimes felt sick,Never felt sick,Rarely felt sick,Never felt sick,Never felt sick,,Never felt sick,Rarely felt sick,Never felt sick,Never felt sick,Sometimes felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,None,None,None,Slight,Slight,None,None,None,Slight,None,Slight,None,None,None,None,None,50
spacevisit,26,Female,Sometimes felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,Frequently felt sick,Frequently felt sick,Never felt sick,Sometimes felt sick,Sometimes felt sick,,Sometimes felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,Frequently felt sick,Frequently felt sick,Never felt sick,Frequently felt sick,Sometimes felt sick,Slight,None,Slight,Slight,None,Slight,None,Slight,Slight,None,None,Slight,None,Moderate,Slight,None,51
helicoptercrash,28,Male,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Frequently felt sick,Never felt sick,Never felt sick,Never felt sick,Rarely felt sick,,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Frequently felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,52
cartooncoaster,20,Male,Sometimes felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Slight,None,None,None,Slight,None,None,None,None,None,None,None,None,None,None,None,53
roadcar,24,Male,Frequently felt sick,Frequently felt sick,Rarely felt sick,Never felt sick,N/A (not applicable),Sometimes felt sick,Sometimes felt sick,Sometimes felt sick,Rarely felt sick,,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Sometimes felt sick,Never felt sick,Slight,None,Slight,Moderate,Moderate,None,None,None,None,Slight,Slight,None,None,None,None,None,54
snowplanet,23,Male,Rarely felt sick,Sometimes felt sick,Sometimes felt sick,Rarely felt sick,Rarely felt sick,Frequently felt sick,Frequently felt sick,Sometimes felt sick,Frequently felt sick,,Never felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,Sometimes felt sick,Sometimes felt sick,Sometimes felt sick,Sometimes felt sick,Slight,None,None,None,None,None,None,None,Slight,None,None,None,Slight,None,Slight,Slight,55
sharks,22,Female,Sometimes felt sick,Sometimes felt sick,Never felt sick,Never felt sick,Rarely felt sick,Never felt sick,Never felt sick,N/A (not applicable),Never felt sick,,Sometimes felt sick,Rarely felt sick,Never felt sick,Never felt sick,Rarely felt sick,Never felt sick,Never felt sick,N/A (never experienced),Never felt sick,None,None,None,None,None,None,None,None,None,None,Slight,None,None,None,None,None,56
dotsouter,19,Male,Sometimes felt sick,Rarely felt sick,Never felt sick,Never felt sick,N/A (never experienced),N/A (never experienced),Never felt sick,Rarely felt sick,Sometimes felt sick,,Rarely felt sick,Rarely felt sick,Never felt sick,Never felt sick,N/A (never experienced),N/A (never experienced),Never felt sick,Never felt sick,Rarely felt sick,None,None,None,None,None,Moderate,None,None,None,None,None,None,None,None,None,None,1
oceancoaster,24,Male,Rarely felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,,Rarely felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,57
woodencoaster,25,Female,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Rarely felt sick,Never felt sick,Rarely felt sick,Sometimes felt sick,Sometimes felt sick,,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Rarely felt sick,Never felt sick,N/A (never experienced),N/A (never experienced),Sometimes felt sick,None,None,None,Slight,None,None,None,Slight,Slight,Slight,None,Slight,None,None,None,None,58
dotsall,24,Male,Sometimes felt sick,Frequently felt sick,Never felt sick,Never felt sick,Sometimes felt sick,N/A (not applicable),Rarely felt sick,Sometimes felt sick,Never felt sick,,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,Slight,None,Slight,Moderate,Slight,None,None,None,None,None,Slight,Slight,None,None,None,None,59
glowingdance,21,Male,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Rarely felt sick,Rarely felt sick,Never felt sick,Never felt sick,Sometimes felt sick,,Never felt sick,Never felt sick,Never felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,Never felt sick,Never felt sick,Sometimes felt sick,Slight,None,None,None,None,Slight,Slight,None,Moderate,None,Slight,None,None,None,None,None,60
dotsinner,22,Male,Rarely felt sick,N/A (not applicable),N/A (not applicable),Rarely felt sick,N/A (not applicable),N/A (not applicable),Rarely felt sick,Rarely felt sick,Sometimes felt sick,,Sometimes felt sick,Rarely felt sick,Never felt sick,Sometimes felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Slight,None,61
gardens,22,Male,Frequently felt sick,Frequently felt sick,Sometimes felt sick,Rarely felt sick,Frequently felt sick,Frequently felt sick,Rarely felt sick,Frequently felt sick,Rarely felt sick,,Sometimes felt sick,Sometimes felt sick,Rarely felt sick,Rarely felt sick,Frequently felt sick,Frequently felt sick,N/A (never experienced),N/A (never experienced),Never felt sick,Slight,None,None,None,None,None,None,None,None,None,Slight,None,None,None,None,None,62
dotsouter,22,Male,Sometimes felt sick,Sometimes felt sick,Never felt sick,N/A (not applicable),Frequently felt sick,Rarely felt sick,Never felt sick,Never felt sick,Rarely felt sick,,Never felt sick,Never felt sick,Never felt sick,Rarely felt sick,Sometimes felt sick,Rarely felt sick,Never felt sick,Never felt sick,Rarely felt sick,Moderate,None,Moderate,Slight,None,None,None,Moderate,None,Slight,None,Moderate,Slight,Moderate,None,None,63
sharks,24,Male,Rarely felt sick,Never felt sick,Never felt sick,Sometimes felt sick,Never felt sick,Sometimes felt sick,Never felt sick,Never felt sick,Never felt sick,,Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Sometimes felt sick,Never felt sick,Never felt sick,Never felt sick,None,Slight,None,None,Slight,None,None,None,Slight,None,Slight,None,None,None,None,None,64
woodencoaster,21,Male,Sometimes felt sick,Never felt sick,Never felt sick,Never felt sick,Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,,Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Slight,None,None,Slight,Slight,None,None,None,None,None,None,None,None,None,None,None,65
dunerovers,20,Female,Sometimes felt sick,N/A (not applicable),Never felt sick,Never felt sick,N/A (not applicable),Rarely felt sick,Never felt sick,Never felt sick,Rarely felt sick,,Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,N/A (never experienced),Never felt sick,N/A (never experienced),N/A (never experienced),N/A (never experienced),None,None,None,Slight,None,Slight,None,None,None,None,None,None,None,None,Slight,None,66
dunerovers,48,Male,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Moderate,Slight,None,Moderate,Slight,None,None,None,None,Slight,None,None,None,None,None,None,67
sharks,25,Male,Rarely felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,Never felt sick,Rarely felt sick,Rarely felt sick,,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Slight,None,None,None,Slight,None,Slight,None,None,None,Moderate,Moderate,Slight,None,None,None,68
dotsall,30,Male,Sometimes felt sick,Sometimes felt sick,Never felt sick,Never felt sick,Sometimes felt sick,Rarely felt sick,N/A (not applicable),N/A (not applicable),Never felt sick,,Sometimes felt sick,Sometimes felt sick,Never felt sick,Never felt sick,Rarely felt sick,Rarely felt sick,N/A (never experienced),N/A (never experienced),N/A (never experienced),Moderate,Slight,Slight,Moderate,Moderate,None,None,Moderate,Slight,Slight,Moderate,Moderate,Slight,Severe,Slight,None,69
woodencoaster,28,Male,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,,Never felt sick,Never felt sick,Never felt sick,Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Slight,Slight,Moderate,Moderate,Moderate,None,None,Slight,Moderate,None,None,None,None,None,None,None,70
roadcar,30,Female,Never felt sick,Never felt sick,Never felt sick,Never felt sick,N/A (not applicable),N/A (not applicable),Never felt sick,Never felt sick,Never felt sick,,Rarely felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,N/A (never experienced),N/A (never experienced),N/A (never experienced),N/A (never experienced),N/A (never experienced),None,None,None,None,None,None,Slight,None,None,None,None,None,None,None,None,None,71
skyhouse,42,Male,Sometimes felt sick,Sometimes felt sick,Never felt sick,Rarely felt sick,Frequently felt sick,Sometimes felt sick,Sometimes felt sick,Sometimes felt sick,Sometimes felt sick,,Rarely felt sick,Rarely felt sick,Never felt sick,Never felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,Slight,None,Slight,None,Slight,Slight,None,Moderate,None,None,Moderate,None,None,Slight,Moderate,Moderate,72
skyhouse,38,Male,Rarely felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,Sometimes felt sick,Sometimes felt sick,Rarely felt sick,Sometimes felt sick,Sometimes felt sick,,Rarely felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,Sometimes felt sick,Sometimes felt sick,Sometimes felt sick,Sometimes felt sick,Sometimes felt sick,Moderate,Moderate,Slight,Slight,Moderate,Slight,None,Slight,Moderate,Moderate,Slight,None,None,None,Slight,Slight,73
snowplanet,33,Male,Never felt sick,Never felt sick,Never felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Slight,None,None,None,Moderate,None,None,None,Moderate,None,Slight,None,None,None,None,None,74
helicoptercrash,57,Male,Rarely felt sick,Rarely felt sick,Rarely felt sick,N/A (not applicable),N/A (not applicable),N/A (not applicable),Never felt sick,Never felt sick,Never felt sick,,Rarely felt sick,Rarely felt sick,Rarely felt sick,Sometimes felt sick,Sometimes felt sick,Sometimes felt sick,Sometimes felt sick,Frequently felt sick,Frequently felt sick,None,None,None,Slight,None,None,Slight,None,None,None,None,None,None,None,None,None,75
sculptures,25,Female,Never felt sick,Rarely felt sick,Rarely felt sick,Never felt sick,Never felt sick,N/A (not applicable),Never felt sick,Never felt sick,Never felt sick,,Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,N/A (never experienced),N/A (never experienced),Never felt sick,N/A (never experienced),Never felt sick,None,None,None,None,Slight,None,None,None,None,None,Slight,None,None,None,None,None,76
gardens,29,Female,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Rarely felt sick,Never felt sick,,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Severe,Moderate,Slight,Severe,Severe,Slight,None,Severe,Severe,Severe,Severe,Severe,Slight,Severe,Slight,None,77
gardens,56,Male,Rarely felt sick,Rarely felt sick,Never felt sick,Never felt sick,Rarely felt sick,Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Slight,Slight,None,Slight,Moderate,None,None,None,None,None,Moderate,None,None,None,None,None,78
dotsouter,50,Male,Sometimes felt sick,Rarely felt sick,Never felt sick,Never felt sick,Rarely felt sick,Sometimes felt sick,Never felt sick,Never felt sick,Never felt sick,,Sometimes felt sick,Rarely felt sick,Never felt sick,Never felt sick,Rarely felt sick,Rarely felt sick,Never felt sick,Never felt sick,Rarely felt sick,Moderate,Slight,None,Slight,None,None,None,Slight,Slight,None,None,None,Slight,Moderate,Moderate,None,79
oceancoaster,46,Male,Never felt sick,Never felt sick,Never felt sick,Sometimes felt sick,Never felt sick,N/A (not applicable),Never felt sick,Rarely felt sick,Rarely felt sick,,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,Rarely felt sick,Slight,None,None,None,None,Slight,None,Slight,None,None,None,None,None,Slight,None,None,80
spacevisit,46,Male,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Rarely felt sick,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,81
minecraft,25,Male,Frequently felt sick,Frequently felt sick,Never felt sick,Rarely felt sick,Never felt sick,Rarely felt sick,Rarely felt sick,Frequently felt sick,Sometimes felt sick,,Sometimes felt sick,Sometimes felt sick,Never felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,Frequently felt sick,Sometimes felt sick,Moderate,Slight,Slight,Slight,None,None,None,Slight,None,Slight,None,Slight,Moderate,Slight,Moderate,None,82
dotsinner,51,Male,Rarely felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,N/A (not applicable),N/A (not applicable),Never felt sick,Rarely felt sick,Rarely felt sick,,Rarely felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,Sometimes felt sick,Rarely felt sick,Never felt sick,N/A (never experienced),Sometimes felt sick,Slight,Slight,None,Slight,Slight,None,None,None,None,None,None,None,None,None,None,None,83
ship,28,Male,Rarely felt sick,Rarely felt sick,Never felt sick,Never felt sick,N/A (not applicable),N/A (not applicable),Never felt sick,Never felt sick,N/A (not applicable),,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Rarely felt sick,N/A (never experienced),N/A (never experienced),Never felt sick,Slight,Slight,None,Moderate,Slight,None,None,None,Moderate,None,Slight,Slight,None,None,None,None,84
dunerovers,50,Male,Sometimes felt sick,Frequently felt sick,Rarely felt sick,Sometimes felt sick,Frequently felt sick,Frequently felt sick,Rarely felt sick,Rarely felt sick,Frequently felt sick,,Sometimes felt sick,Rarely felt sick,Rarely felt sick,Sometimes felt sick,Frequently felt sick,Frequently felt sick,Rarely felt sick,Frequently felt sick,Frequently felt sick,Slight,None,None,Slight,Moderate,None,None,None,Slight,None,Slight,Moderate,Slight,Slight,None,None,85
woodencoaster,36,Male,Sometimes felt sick,Sometimes felt sick,Never felt sick,Never felt sick,Sometimes felt sick,Sometimes felt sick,Never felt sick,Rarely felt sick,Sometimes felt sick,,Rarely felt sick,Rarely felt sick,Never felt sick,Never felt sick,Sometimes felt sick,Sometimes felt sick,Never felt sick,Rarely felt sick,Sometimes felt sick,Slight,None,None,None,None,None,None,Slight,None,None,None,None,None,Slight,Slight,None,86
glowingdance,36,Male,Rarely felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,Sometimes felt sick,Sometimes felt sick,Never felt sick,Frequently felt sick,Frequently felt sick,,Rarely felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,Sometimes felt sick,Sometimes felt sick,Never felt sick,Rarely felt sick,Rarely felt sick,None,None,None,Slight,None,None,None,None,None,None,None,None,None,None,None,None,87
sharks,62,Male,Frequently felt sick,Frequently felt sick,N/A (not applicable),N/A (not applicable),Frequently felt sick,N/A (not applicable),Never felt sick,Sometimes felt sick,Never felt sick,,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Frequently felt sick,Frequently felt sick,N/A (never experienced),N/A (never experienced),Rarely felt sick,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,88
flyingcar,55,Male,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Rarely felt sick,Sometimes felt sick,Rarely felt sick,Rarely felt sick,Sometimes felt sick,,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Frequently felt sick,Slight,None,None,Slight,Moderate,Slight,None,None,None,None,Moderate,None,Slight,None,None,None,89
dotsall,50,Female,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Sometimes felt sick,Never felt sick,Never felt sick,Never felt sick,Rarely felt sick,,Never felt sick,Sometimes felt sick,Never felt sick,Sometimes felt sick,Frequently felt sick,Sometimes felt sick,Rarely felt sick,Sometimes felt sick,Frequently felt sick,None,None,None,None,None,None,None,None,None,None,Slight,Slight,None,None,None,None,90
cartooncoaster,27,Male,Never felt sick,Never felt sick,N/A (not applicable),N/A (not applicable),Rarely felt sick,Never felt sick,Sometimes felt sick,Sometimes felt sick,N/A (not applicable),,Rarely felt sick,Rarely felt sick,Never felt sick,Never felt sick,Rarely felt sick,Rarely felt sick,Sometimes felt sick,Sometimes felt sick,N/A (never experienced),None,None,None,None,None,None,None,None,None,Moderate,None,Slight,None,None,Slight,None,91
ship,30,Male,Sometimes felt sick,Sometimes felt sick,Never felt sick,Sometimes felt sick,Frequently felt sick,Sometimes felt sick,Rarely felt sick,Never felt sick,Never felt sick,,Rarely felt sick,Rarely felt sick,Never felt sick,Sometimes felt sick,Sometimes felt sick,Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,Slight,Slight,None,Slight,Moderate,Slight,None,Moderate,Slight,Moderate,Moderate,Severe,Slight,Slight,Slight,Slight,92
flyingcar,25,Male,Sometimes felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,Sometimes felt sick,Rarely felt sick,Never felt sick,Rarely felt sick,Sometimes felt sick,,Sometimes felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,Never felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,Sometimes felt sick,Slight,None,None,None,None,None,None,Slight,None,None,None,None,None,None,None,None,93
sculptures,24,Male,N/A (not applicable),N/A (not applicable),N/A (not applicable),N/A (not applicable),N/A (not applicable),N/A (not applicable),N/A (not applicable),N/A (not applicable),Rarely felt sick,,N/A (never experienced),N/A (never experienced),N/A (never experienced),N/A (never experienced),N/A (never experienced),N/A (never experienced),N/A (never experienced),N/A (never experienced),Never felt sick,Slight,None,Slight,Moderate,Slight,None,None,None,None,None,Moderate,Slight,None,None,None,None,93
sculptures,33,Male,Sometimes felt sick,Sometimes felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,Sometimes felt sick,Never felt sick,Frequently felt sick,Frequently felt sick,,Rarely felt sick,Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,Rarely felt sick,Never felt sick,Sometimes felt sick,Sometimes felt sick,Slight,None,None,Slight,Slight,None,None,None,Slight,Slight,Moderate,Slight,Slight,None,None,None,94
skyhouse,45,Male,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,,Rarely felt sick,Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,Rarely felt sick,Never felt sick,Never felt sick,Rarely felt sick,Slight,None,None,Slight,Slight,None,None,None,None,None,Moderate,Slight,Slight,None,None,None,95
dotsall,32,Male,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Sometimes felt sick,Sometimes felt sick,Never felt sick,Never felt sick,Sometimes felt sick,,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Sometimes felt sick,Sometimes felt sick,Never felt sick,Never felt sick,Never felt sick,Moderate,None,None,None,Moderate,None,None,None,Moderate,None,None,Moderate,None,Moderate,None,None,96
woodencoaster,46,Male,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Rarely felt sick,Rarely felt sick,Sometimes felt sick,,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,N/A (never experienced),N/A (never experienced),N/A (never experienced),None,None,None,None,None,None,None,None,None,None,None,None,None,None,Slight,None,97
